Customer;XDC;Size;Coating;Amount;Fitting;Date_Order;Date_Delivery_Ought;Date_Delivery_Is;Delivery_Comment;General_Comment;Division_Tag;Machine;Machine_Comment;Machine_Type;Training_Kits;Dummy_Sets;Channels;Delivery_Time;Locality_Country;Locality_City;Sci_Ltd;Sci_Inc;Contract_Manufacturing;Replacement_Delivery;Replacement_for_ID;PO;PO_Inc;OC_AG;OC_Inc;Date_Order_Month;Date_Delivery_Month;Date_Order_Year;Date_Delivery_Year
Scienion Inc;PDC;90;T2;6.0;S5/S11;2019-06-03;;2020-08-26;;;;;;;;;;450.0;USA;Tempe;;;;;;100159;;;;2019-06;2020-08;2019;2020.0
Scienion Inc;PDC;90;T4;2.0;S5/S11;2019-06-03;;2020-08-26;;;;;;;;;;450.0;USA;Tempe;;;;;;100159;;;;2019-06;2020-08;2019;2020.0
fzmb GmbH;PDC-C;CS;;2.0;S5/S11;2019-07-26;2020-02-10;2020-02-11;;zusammen mit  Cellen One Spotter F1.4 (2-Kanal) , 1 Dummy Set;Abt. Biotechnologie;1.0;F1.4;CO F1.4;;1;2;200.0;Germany;Bad Langensalza;;;;;;fzmb20719003042;;24409.0;;2019-07;2020-02;2019;2020.0
fzmb GmbH;PDC-C;CM;;2.0;S5/S11;2019-07-26;2020-02-10;2020-02-11;;zusammen mit  Cellen One Spotter F1.4 (2-Kanal);Abt. Biotechnologie;1.0;F1.4;CO F1.4;;;2;200.0;Germany;Bad Langensalza;;;;;;fzmb20719003042;;24409.0;;2019-07;2020-02;2019;2020.0
fzmb GmbH;PDC-C;CL;;2.0;S5/S11;2019-07-26;2020-02-10;2020-02-11;;zusammen mit  Cellen One Spotter F1.4 (2-Kanal);Abt. Biotechnologie;1.0;F1.4;CO F1.4;;;2;200.0;Germany;Bad Langensalza;;;;;;;;24409.0;;2019-07;2020-02;2019;2020.0
Eindhoven University of Technology;PDC;90;;1.0;S5/S11;2019-08-02;;2020-02-04;;zusammen mit PMI, Simon kuemmert sich um Dringlichkeit Stand 07.11.2019;Laboratory of Materials and Interface Chemistry;;;;;;;186.0;Netherlands;Eindhoven;;;;;;30089001-373000;;24438.0;;2019-08;2020-02;2019;2020.0
Eindhoven University of Technology;PDC;90;T4;1.0;S5/S11;2019-08-02;;2020-02-04;;zusammen mit PMI, Simon kuemmert sich um Dringlichkeit Stand 07.11.2019;Laboratory of Materials and Interface Chemistry;;;;;;;186.0;Netherlands;Eindhoven;;;;;;30089001-373000;;24438.0;;2019-08;2020-02;2019;2020.0
ADC;PDC;80;T2;60.0;S3;2019-09-01;2019-09-30;2020-02-06;am 18.12.2019  IRLAND hat Vorrang;2. Lieferung Sept. aus 6-Monatsbestellung (0A84459) 082019-012020;;;;;;;;158.0;UK;Witney;;;;;;0A84459;;24460.0;;2019-09;2020-02;2019;2020.0
Changzou Siyao Pharmaceuticals Co. Ltd;PDC;80;T3;6.0;S5/S11;2019-09-04;;2020-01-21;;zusammen mit  SX (2-Kanal),  1 Dummy Set;;1.0;;SX;;1;2;139.0;China;Changzhou;;;;;;20190828;;24498.0;;2019-09;2020-01;2019;2020.0
MagArray Inc;PDC;70;;10.0;S5/S11;2019-09-16;;2020-01-09;;;;;;;;;;115.0;USA;Milpitas;;1.0;;;;#673;;24524.0;;2019-09;2020-01;2019;2020.0
Fraunhofer IZI;PDC;50;T3;1.0;S5/S11;2019-09-13;;2020-01-13;4-Monate Lieferzeit bekannt;vom 25.09.2019, vergessen aufzunehmen;;;;;;;;122.0;Germany;Leipzig;;;;;;;;24548.0;;2019-09;2020-01;2019;2020.0
Adarza BioSystems Inc;PDC;50;T2;4.0;S5/S11;2019-09-18;;2020-02-11;;nachträglich T2 Coating bestellt;;;;;;;;146.0;USA;St. Louis;;1.0;;;;;;24529.0;;2019-09;2020-02;2019;2020.0
ADC;PDC;80;T2;60.0;S3;2019-10-01;2019-10-31;2020-03-05;;3. Lieferung Okt. aus 6-Monatsbestellung (0A84459) 082019-012020;;;;;;;;156.0;UK;Witney;;;;;;0A84459;;24460.0;;2019-10;2020-03;2019;2020.0
Scienion Inc;PDC-C;CM;;2.0;S5/S11;2019-10-07;;2019-10-25;;& 2x FAT PDC;;;;;;;;18.0;USA;Tempe;;;;;;100243;;24565.0;;2019-10;2019-10;2019;2019.0
ADC;PDC;80;T2;10.0;S3;2019-10-08;2020-01-15;2020-01-15;feste Zusage bis dato;zusammen mit  10 OEM's;;1.0;10.0;OEM;;;;99.0;UK;Witney;;;;;;0A84499;;xxxxx;;2019-10;2020-01;2019;2020.0
ADC;PDC;80;T2;20.0;S3;2019-10-08;2020-01-15;2020-01-15;feste Zusage bis dato;zusammen mit spare parts für 10 OEM's,  20 Dummy Sets;;1.0;10 / spare parts;OEM;;20;;99.0;UK;Witney;;;;;;0A84499;;xxxxx;;2019-10;2020-01;2019;2020.0
Cellenion SASU;PDC-C;CS;;1.0;S5/S11;2019-10-15;2020-01-31;2020-01-29;;Teil 2;;;;;;;;106.0;France;Lyon;;;;;;;;;;2019-10;2020-01;2019;2020.0
Cellenion SASU;PDC-C;CS;;3.0;S5/S11;2019-10-15;2020-02-29;2020-07-31;;Teil 3;;;;;;;;290.0;France;Lyon;;;;;;;;;;2019-10;2020-07;2019;2020.0
Cellenion SASU;PDC-C;CM;;2.0;S5/S11;2019-10-15;2020-01-31;2020-01-29;;Teil 2;;;;;;;;106.0;France;Lyon;;;;;;;;;;2019-10;2020-01;2019;2020.0
Cellenion SASU;PDC-C;CM;;4.0;;2019-10-15;2020-02-29;2020-07-31;;Teil 3;;;;;;;;290.0;France;Lyon;;;;;;;;;;2019-10;2020-07;2019;2020.0
Cellenion SASU;PDC-C;CL;;1.0;S5/S11;2019-10-15;2020-01-31;2020-01-29;;Teil 2;;;;;;;;106.0;France;Lyon;;;;;;;;;;2019-10;2020-01;2019;2020.0
AstraZeneca UK Ltd;PDC-C;CM;;2.0;S5/S11;2019-10-17;;2020-03-05;Ende Februar;zusammen mit  cellenONE F1.4 (2-Kanal), 1 DummySet;;1.0;F1.4;CO F1.4;;1;2;140.0;UK;Macclesfield;;;;;;;;24581.0;;2019-10;2020-03;2019;2020.0
PSG Procurement Services GmbH;PDC;60;;3.0;S5/S11;2019-10-21;2020-02-05;2020-02-05;;;Robert Bosch GmbH;;;;;;;107.0;Germany;Renningen;;;;;;;;24594.0;;2019-10;2020-02;2019;2020.0
Randox Teoranta;PDC;80;;10.0;S5/S11;2019-10-24;;2020-01-17;;2. Teillieferung;;;;;;;;85.0;Ireland;Dungloe;;;;;;;;;;2019-10;2020-01;2019;2020.0
iLINE Microsystems S.L.;PDC;90;;4.0;S5/S11;2019-10-31;;2020-01-09;;;;;;;;;;70.0;Spain;San Sebastian;;;;;;1.910.062;;24636.0;;2019-10;2020-01;2019;2020.0
ADC;PDC;80;T2;60.0;S3;2019-11-01;2019-11-30;2020-03-31;;4. Lieferung Nov. aus 6-Monatsbestellung (0A84459) 082019-012020;;;;;;;;151.0;UK;Witney;;;;;;0A84459;;24460.0;;2019-11;2020-03;2019;2020.0
Minifab PTY Ltd;PDC;50;T4;5.0;S5/S11;2019-11-04;2019-11-29;2020-04-27;29.11.2019 mit FAT PDC;zusammen mit sciFLEXARRAYER SX (4-Channel), 1 DummySet am 27.11.2019 gesendet + 4 FAT PDC da PDC50 nicht vorraetig;;1.0;;SX;;1;4;175.0;Australia;Scoresby;;1.0;;;;P7407;;xxxxx;;2019-11;2020-04;2019;2020.0
Automobi Molecular Diagnostice Co. Ltd;PDC;70;T1;60.0;S5/S11;2019-11-04;2020-11-09;2020-11-09;zum 15.08.2020 wenn FAT laeuft;zusammen mit S100 - COP - MOBI-Fully integrated System (5 Portal 12-Kanal), 1 DummySet;;1.0;;S100;;1;5*12;371.0;China;Zhengzhou;;;;;;20191020;;24654.0;;2019-11;2020-11;2019;2020.0
TestLine Clinical Diagnostics s.r.o.;PDC;60;;5.0;S5/S11;2019-11-04;;2020-02-14;;TEIL 2;;;;;;;;102.0;Czech Republic;Brno-Kralove Pole;;;;;;;;24655.0;;2019-11;2020-02;2019;2020.0
TestLine Clinical Diagnostics s.r.o.;PDC;60;T1;5.0;S5/S11;2019-11-04;;2020-01-22;;TEIL 1;;;;;;;;79.0;Czech Republic;Brno-Kralove Pole;;;;;;;;24655.0;;2019-11;2020-01;2019;2020.0
IMTEK;PDC;90;T2;4.0;S5/S11;2019-11-04;;2020-05-05;;;Uni Freiburg;;;;;;;183.0;Germany;Freiburg;;;;;;SBH-1910-401-C-C;;24656.0;;2019-11;2020-05;2019;2020.0
Adarza BioSystems Inc;PDC;50;;10.0;S5/S11;2019-11-05;;2020-07-10;;Teil 1;;1.0;;SX;;1;4;248.0;USA;St. Louis;;1.0;;;;TANDON11012019;;24661.0;;2019-11;2020-07;2019;2020.0
Phadia AB (Thermo Fisher Scientific);PDC;60;T4;8.0;S5/S11;2019-11-06;2020-02-12;2020-02-06;;;;;;;;;;92.0;Sweden;Uppsala;;;;;;;;24682.0;;2019-11;2020-02;2019;2020.0
Viramed Biotech AG;PDC;80;;2.0;S5/S11;2019-11-13;;2020-01-22;;TEIL 2, Januar 2020;;;;;;;;70.0;Germany;Planegg;;;;;;9003635-1;;24689.0;;2019-11;2020-01;2019;2020.0
Viramed Biotech AG;PDC;80;T2;2.0;S5/S11;2019-11-13;;2020-01-22;;TEIL 2, Januar 2020;;;;;;;;70.0;Germany;Planegg;;;;;;9003635-1;;24689.0;;2019-11;2020-01;2019;2020.0
Viramed Biotech AG;PDC;80;T2;4.0;S5/S11;2019-11-13;;2020-02-18;;TEIL 3, Februar 2020;;;;;;;;97.0;Germany;Planegg;;;;;;9003635-1;;24689.0;;2019-11;2020-02;2019;2020.0
Viramed Biotech AG;PDC;80;T2;4.0;S5/S11;2019-11-13;;2020-03-20;;TEIL 4, Maerz 2020;;;;;;;;128.0;Germany;Planegg;;;;;;9003635-1;;24689.0;;2019-11;2020-03;2019;2020.0
MBio Diagnostics Inc;PDC;70;T3;3.0;S5/S11;2019-11-14;;2020-02-07;;Teil 2 offen ZUSAGE bis 31.01.2020 HALTEN!!!;;;;;;;;85.0;USA;Boulder;;1.0;;;;6807;;24675.0;201329.0;2019-11;2020-02;2019;2020.0
A*Star Research Entities;PDC;70;T1;2.0;S5/S11;2019-11-14;;2020-01-07;;zusammen mit PMI + consumables;Institute of Microelectronics;;;;;;;54.0;Singapur;Singapore;;;;;;4700050477;;24692;;2019-11;2020-01;2019;2020.0
SQI Diagnostics Systems Inc;PDC;70;;4.0;S5/S11;2019-11-14;;2020-03-04;;;;;;;;;;111.0;Canada;Toronto;;1.0;;;;100274;;24673.0;201350.0;2019-11;2020-03;2019;2020.0
Angle Biosiences Inc;PDC;70;;3.0;S5/S11;2019-11-14;;2020-02-12;;;;;;;;;;90.0;Canada;Toronto;;1.0;;;;1746;;24960.0;201350.0;2019-11;2020-02;2019;2020.0
Verily Life Sciences;PDC;90;T2;1.0;S5/S11;2019-11-14;;2020-02-06;;;;;;;;;;84.0;USA;San Francisco;;1.0;;;;315 (VXWLHRHPQ);;24672.0;;2019-11;2020-02;2019;2020.0
Verily Life Sciences;PDC;70;T1;2.0;S5/S11;2019-11-14;;2020-02-06;;;;;;;;;;84.0;USA;San Francisco;;1.0;;;;315 (VXWLHRHPQ);;24672.0;;2019-11;2020-02;2019;2020.0
Safeguard Biosystems Manufacturing;PDC;70;T2;4.0;S5/S11;2019-11-14;;2020-02-14;;;;;;;;;;92.0;USA;Northvale;;1.0;;;;SBC-20191029-001;;24677.0;201340.0;2019-11;2020-02;2019;2020.0
IMEC vzw;PDC;100;T1;1.0;S5/S11;2019-11-15;;2020-01-15;;TEIL 1;;;;;;;;61.0;Belgium;Leuven;;;;;;11915172;;24693.0;;2019-11;2020-01;2019;2020.0
IMEC vzw;PDC;100;T2;1.0;S5/S11;2019-11-15;;2020-01-15;;TEIL 1;;;;;;;;61.0;Belgium;Leuven;;;;;;11915172;;24693.0;;2019-11;2020-01;2019;2020.0
IMEC vzw;PDC;100;T3;1.0;S5/S11;2019-11-15;;2020-01-15;;TEIL 1;;;;;;;;61.0;Belgium;Leuven;;;;;;11915172;;24693.0;;2019-11;2020-01;2019;2020.0
IMEC vzw;PDC;100;T4;1.0;S5/S11;2019-11-15;;2020-08-05;;TEIL 2;;;;;;;;264.0;Belgium;Leuven;;;;;;11915172;;24693.0;;2019-11;2020-08;2019;2020.0
Vitro S.A.;PDC;90;T2;4.0;S5/S11;2019-11-18;;2020-02-24;;TEIL 2;;;;;;;;98.0;Spain;Granada;;;;;;CP19-003355;;;;2019-11;2020-02;2019;2020.0
Safeguard Biosystems Inc;PDC;70;T2;5.0;S5/S11;2019-11-19;;2020-12-17;;;;;;;;;;394.0;USA;Northvale;;1.0;;;;100243;;24695.0;;2019-11;2020-12;2019;2020.0
Invitae Corporation;PDC;80;T1;2.0;S5/S11;2019-11-20;;2020-02-14;;;;;;;;;;86.0;USA;San Francisco;;1.0;;;;9460;BE100284;;;2019-11;2020-02;2019;2020.0
Zymergen;PDC-C;CM;;1.0;S5/S11;2019-11-26;;2020-01-16;;;;;;;;;;51.0;USA;Emeryville;;1.0;;;;47700;;24716.0;;2019-11;2020-01;2019;2020.0
Charite;PDC-C;CM;;4.0;S5/S11;2019-11-26;2020-01-09;2020-01-09;;zusammen mit  cellenONE F1.4 (1-Kanal), 1 DummySet;Universitaetsmedizin Berlin;1.0;F1.4;CO F1.4;;1;1;44.0;Germany;Berlin;;;;;;3990145374/252;;24721.0;;2019-11;2020-01;2019;2020.0
INL;PDC;50;;1.0;S5/S11;2019-11-28;2020-01-13;2020-02-12;Versand nach dem 13.01.2020, wenn PMI done;;Int Iberian Nanotech Lab;;;;;;;76.0;Portugal;Braga;;;;;;;;24724.0;;2019-11;2020-02;2019;2020.0
Bio Rad;PDC;70;T2;2.0;S5/S11;2019-11-29;;2020-01-24;;;FR OFC Corporate;;;;;;;56.0;France;Marnes-La-Coquette;;;;;;4500149590;;;;2019-11;2020-01;2019;2020.0
InSilixa Inc (Cepheid);PDC;50;T4;2.0;S5/S11;2019-11-29;;2020-02-21;;;;;;;;;;84.0;USA;Sunnyvale;;1.0;;;;11202019-01-KSHAMA;;24725.0;;2019-11;2020-02;2019;2020.0
Randox Teoranta;PDC;80;;24.0;S5/S11;2019-11-29;;2020-02-19;;17.-21.02.2020 FESTE ZUSAGE;;;;;;;;82.0;Ireland;Dungloe;;;;;;520198;;;;2019-11;2020-02;2019;2020.0
Inside Biometrics Int Ltd;PDC;70;T4;4.0;S5/S11;2019-12-03;2020-01-13;2020-01-13;;;;;;;;;;41.0;Scottland;Dingwall;;;;;;422;;24740.0;;2019-12;2020-01;2019;2020.0
DTU Health Tech;PDC;70;T1;4.0;S5/S11;2019-12-03;2020-02-07;2020-01-30;bis dato bei Kunden;;Technical University of Denmark;;;;;;;58.0;Denmark;Lyngby;;;;;;191021-JB-D-02;;24732.0;;2019-12;2020-01;2019;2020.0
LXRepair SAS;PDC;60;;2.0;S5/S11;2019-12-04;2020-01-06;2020-02-14;Versand ab 06.01.2020;;Biopolis;;;;;;;72.0;France;La Tronche;;;;;;;;24737.0;;2019-12;2020-02;2019;2020.0
iLINE Microsystems S.L.;PDC;90;;4.0;S5/S11;2019-12-04;;2020-02-04;;;;;;;;;;62.0;Spain;San Sebastian;;;;;;1.912.009;;24738.0;;2019-12;2020-02;2019;2020.0
Pamgene International B.V.;PDC;70;;4.0;S5/S11;2019-12-04;2020-02-02;2020-02-06;;;;;;;;;;64.0;Netherlands;Hertogenbosch;;;;;;Email 04.12.2019 bezogen auf offer:90315-HD-NL-01;;;;2019-12;2020-02;2019;2020.0
Institute Curie;PDC-C;CL;;2.0;S5/S11;2019-12-05;2020-01-20;2020-01-24;;;Centre de Recherche;;;;;;;50.0;France;Paris;;;;;;;;24751.0;;2019-12;2020-01;2019;2020.0
Institute Curie;PDC-C;CS;;2.0;S5/S11;2019-12-05;2020-01-20;2020-01-24;;;Centre de Recherche;;;;;;;50.0;France;Paris;;;;;;;;24751.0;;2019-12;2020-01;2019;2020.0
Erasmus MC Rotterdam;PDC-C;CM;;5.0;S5/S11;2019-12-09;2020-01-29;2020-01-29;;;;;;;;;;51.0;Netherlands;Rotterdam;;;;;;10897164;;24745.0;;2019-12;2020-01;2019;2020.0
AerNos Inc;PDC;100;T3;4.0;S5/S11;2019-12-09;2020-01-31;2020-01-28;Teillieferung bis 31.01.2020 zugesagt;;;;;;;;;50.0;USA;San Diego;;1.0;;;;1276;;24748.0;;2019-12;2020-01;2019;2020.0
Qorvo Biotechnologies LLC;PDC;50;T4;6.0;S5/S11;2019-12-12;2020-01-31;2020-01-30;Teillieferung bis 31.01.2020 zugesagt;TEIL 1;;;;;;;;49.0;USA;Plymouth;;1.0;;;;2163694;;24755.0;;2019-12;2020-01;2019;2020.0
Qorvo Biotechnologies LLC;PDC;50;T4;4.0;S5/S11;2019-12-12;;2020-06-17;;TEIL 2;;;;;;;;188.0;USA;Plymouth;;1.0;;;;2163694;;24755.0;;2019-12;2020-06;2019;2020.0
Gener8 Inc;PDC;50;;1.0;S5/S11;2019-12-12;;2020-02-12;;;;;;;;;;62.0;USA;Sunnyvale;;1.0;;;;P35282;;xxxxx;;2019-12;2020-02;2019;2020.0
Genomica S.A.U.;PDC;70;T1;2.0;S5/S11;2019-12-13;;2020-01-22;;;;;;;;;;40.0;Spain;Madrid;;;;;;P16598;;24793.0;;2019-12;2020-01;2019;2020.0
Antech Diagnostics;PDC;90;T3;8.0;S5/S11;2019-12-16;;2020-01-28;;TEIL 2, (Teil 1 aus Tempe beliefert);;;;;;;;43.0;USA;Fountain Valley;;1.0;;;;P16598;;24763.0;;2019-12;2020-01;2019;2020.0
Rice University;PDC;80;;2.0;S5/S11;2019-12-16;;2020-02-07;;;;;;;;;;53.0;USA;Houston;;1.0;;;;P16598;;201383.0;;2019-12;2020-02;2019;2020.0
Rice University;PDC;70;T3;2.0;S5/S11;2019-12-16;;2020-02-07;;;;;;;;;;53.0;USA;Houston;;1.0;;;;;;201383.0;;2019-12;2020-02;2019;2020.0
GenMark Diagnostics Inc;PDC;80;T2;2.0;S5/S11;2019-12-17;;2020-01-24;TEIL 1;zusammen mit sciFLEXARRAYER S12 (2-Channel), 1 DummySet, 1 DummySet am 17.12.2019 gesendet + 2 FAT PDC da PDC's nicht vorraetig,    TEIL 1;;1.0;;S12;;1;2;38.0;USA;Carlsbad;;1.0;;;;;;;;2019-12;2020-01;2019;2020.0
GenMark Diagnostics Inc;PDC;80;T2;2.0;S5/S11;2019-12-17;;2020-03-10;TEIL 2;zusammen mit sciFLEXARRAYER S12 (2-Channel),   TEIL 2;;1.0;;S12;;;2;84.0;USA;Carlsbad;;1.0;;;;;;;;2019-12;2020-03;2019;2020.0
GenMark Diagnostics Inc;PDC;80;;2.0;S5/S11;2019-12-17;;2020-01-24;TEIL 1;zusammen mit sciFLEXARRAYER S12 (2-Channel),   TEIL 1;;1.0;;S12;;;2;38.0;USA;Carlsbad;;1.0;;;;;;;;2019-12;2020-01;2019;2020.0
GenMark Diagnostics Inc;PDC;80;;3.0;S5/S11;2019-12-17;;2020-03-10;TEIL 2;zusammen mit sciFLEXARRAYER S12 (2-Channel),   TEIL 2;;1.0;;S12;;;2;84.0;USA;Carlsbad;;1.0;;;;;;;;2019-12;2020-03;2019;2020.0
Minifab PTY Ltd;PDC;80;T3;1.0;S5/S11;2019-12-17;;2020-01-21;;Ersatz für reklamierte PDC75319 (miniAbplatzer an Spitze);;;;;;;;35.0;Australia;Scoresby;;1.0;;1.0;75319;;;;;2019-12;2020-01;2019;2020.0
MBio Diagnostics Inc;PDC;70;T3;4.0;S5/S11;2019-12-18;;2020-02-12;;;;;;;;;;56.0;USA;Boulder;;1.0;;;;6949;;201386.0;;2019-12;2020-02;2019;2020.0
ADC;PDC;80;T2;20.0;S3;2019-12-01;2019-12-31;2020-01-21;;6. Lieferung Dez.. aus 6-Monatsbestellung (order: 4700584215);;;;;;;;51.0;Ireland;Donegal;;;;;;;;;;2019-12;2020-01;2019;2020.0
ADC;PDC;80;T2;60.0;S3;2019-12-01;2019-12-31;2020-06-30;;5. Lieferung Dez. aus 6-Monatsbestellung (0A84459) 082019-012020;;;;;;;;212.0;UK;Witney;;;;;;0A84459;;24460.0;;2019-12;2020-06;2019;2020.0
Luminex Operation;PDC;80;T1;8.0;S5/S11;2019-12-19;2020-03-15;2020-05-13;;zusammen mit sciFLEXARRAYER SX 1 (4-Channel), 1 DummySet;;1.0;;;;;;146.0;USA;Northbrook;;1.0;;;;120134;;;;2019-12;2020-05;2019;2020.0
UniSensor S.A.;PDC;80;T2;6.0;S5/S11;2019-12-20;;2020-01-30;TEIL 1;TEIL 1 zusammen mit Dispense head, 8-channel;;;Dispense head;;;;8;41.0;Belgium;Ougree;;;;;;808591;;24806.0;;2019-12;2020-01;2019;2020.0
UniSensor S.A.;PDC;80;T2;9.0;S5/S11;2019-12-20;;2020-06-18;TEIL 2;TEIL 2 zusammen mit Dispense head, 8-channel;;;Dispense head;;;;8;181.0;Belgium;Ougree;;;;;;808591;;24806.0;;2019-12;2020-06;2019;2020.0
UniSensor S.A.;PDC;80;T3;5.0;S5/S11;2019-12-20;;2020-01-30;TEIL 1;TEIL 1 zusammen mit Dispense head, 8-channel;;;Dispense head;;;;8;41.0;Belgium;Ougree;;;;;;808591;;24806.0;;2019-12;2020-01;2019;2020.0
UC Berkeley;PDC-C;CM;;2.0;S5/S11;2019-12-23;;2020-01-15;;zusammen mit sciFLEXARRAYER SX 1 (1-Channel), 1 DummySet;;1.0;;SX;;1;1;23.0;USA;Berkeley;;1.0;;;;PBB01322845;100306;24783.0;;2019-12;2020-01;2019;2020.0
UC Berkeley;PDC-C;CL;;1.0;S5/S11;2019-12-23;;2020-01-15;;zusammen mit sciFLEXARRAYER SX 1 (1-Channel);;1.0;;SX;;;1;23.0;USA;Berkeley;;1.0;;;;PBB01322845;100306;24783.0;;2019-12;2020-01;2019;2020.0
UC Berkeley;PDC;80;T2;1.0;S5/S11;2019-12-23;;2020-01-15;;zusammen mit sciFLEXARRAYER SX 1 (1-Channel);;1.0;;SX;;;1;23.0;USA;Berkeley;;1.0;;;;PBB01322845;100306;24783.0;;2019-12;2020-01;2019;2020.0
UC Berkeley;PDC;80;T3;1.0;S5/S11;2019-12-23;;2020-01-15;;zusammen mit sciFLEXARRAYER SX 1 (1-Channel);;1.0;;SX;;;1;23.0;USA;Berkeley;;1.0;;;;PBB01322845;100306;24783.0;;2019-12;2020-01;2019;2020.0
UC Berkeley;PDC;80;T4;1.0;S5/S11;2019-12-23;;2020-01-15;;zusammen mit sciFLEXARRAYER SX 1 (1-Channel);;1.0;;SX;;;1;23.0;USA;Berkeley;;1.0;;;;PBB01322845;100306;24783.0;;2019-12;2020-01;2019;2020.0
ADC;PDC;80;T2;8.0;S3;2019-12-23;;2020-03-06;;;;;;;;;;74.0;USA;Alameda;;1.0;;;;4700532424;;24791.0;;2019-12;2020-03;2019;2020.0
ADC;PDC;80;T2;2.0;S3;2019-12-23;;2020-03-06;;damit noch 1 PDC aus PO PO # 4700403327 offen;;;;;;;;74.0;USA;Alameda;;1.0;;;;4700403327;;24790.0;;2019-12;2020-03;2019;2020.0
Mobidiag Ltd (Hologic);PDC;80;T4;8.0;S5/S11;2019-12-23;;2020-01-24;;;;;;;;;;32.0;Finnland;Espoo;;;;;;20191223AWE;;;;2019-12;2020-01;2019;2020.0
Synthego;PDC-C;CM;;4.0;S5/S11;2019-12-23;;2020-01-09;;;;;;;;;;17.0;USA;Redwood City;;1.0;;;;11027;100312;24792.0;;2019-12;2020-01;2019;2020.0
ADC;PDC;80;T2;60.0;S3;2020-01-01;2020-01-31;2020-09-21;;6. Lieferung Jan.2020 aus 6-Monatsbestellung (0A84459) 082019-012020;;;;;;;;264.0;UK;Witney;;;;;;0A84459;;24460.0;;2020-01;2020-09;2020;2020.0
WAD GROUP CO. Ltd;PDC-C;CM;;1.0;S5/S11;2020-01-02;;2020-01-09;;Ersatz für reklamierte PDC 60469 (Crash am Isolatorring);;;;;;;;7.0;China;Shanghai;;;;1.0;60469;;;;;2020-01;2020-01;2020;2020.0
Duke University Healthsystems Inc;PDC;70;T3;2.0;S5/S11;2020-01-03;;2020-02-14;;;;;;;;;;42.0;USA;Durham;;1.0;;;;#320;;24796.0;;2020-01;2020-02;2020;2020.0
Earlham Institute;PDC-C;CM;;2.0;S5/S11;2020-01-03;;2020-03-04;;zusammen mit  cellenONE F1.4 (2-Kanal), 1 DummySet;;1.0;F1.4;CO F1.4;;1;2;61.0;UK;Norwich;;;;;;EARL116564A;;24797.0;;2020-01;2020-03;2020;2020.0
