;customer_id;product_family;size_new;coating_new;nozzle;price_of_nozzle;amount;machine_type;price_of_machine;date_order;date_delivery_is;delivery_time;locality_country;locality_city;replacement_delivery;sales_revenue
27;58;P2;C1;B0;P2_C1_B0;700;3.0;none;0;2019-10-15;2020-07-31;290.0;France;Lyon;0.0;2100.0
28;58;P2;C2;B0;P2_C2_B0;700;2.0;none;0;2019-10-15;2020-01-29;106.0;France;Lyon;0.0;1400.0
29;58;P2;C2;B0;P2_C2_B0;700;4.0;none;0;2019-10-15;2020-07-31;290.0;France;Lyon;0.0;2800.0
30;58;P2;C3;B0;P2_C3_B0;700;1.0;none;0;2019-10-15;2020-01-29;106.0;France;Lyon;0.0;700.0
31;24;P2;C2;B0;P2_C2_B0;700;2.0;M7;55000;2019-10-17;2020-03-05;140.0;UK;Macclesfield;0.0;56400.0
32;198;P1;10;B0;P1_10_B0;750;3.0;none;0;2019-10-21;2020-02-05;107.0;Germany;Renningen;0.0;2250.0
33;220;P1;30;B0;P1_30_B0;750;10.0;none;0;2019-10-24;2020-01-17;85.0;Ireland;Dungloe;0.0;7500.0
34;317;P1;40;B0;P1_40_B0;750;4.0;none;0;2019-10-31;2020-01-09;70.0;Spain;San Sebastian;0.0;3000.0
35;2;P1;30;B2;P1_30_B2;750;60.0;none;0;2019-11-01;2020-03-31;151.0;UK;Witney;0.0;45000.0
36;180;P1;00;B4;P1_00_B4;1000;5.0;M3;100000;2019-11-04;2020-04-27;175.0;Australia;Scoresby;0.0;105000.0
37;26;P1;20;B1;P1_20_B1;750;60.0;M4;1000000;2019-11-04;2020-11-09;371.0;China;Zhengzhou;0.0;1045000.0
38;253;P1;10;B0;P1_10_B0;750;5.0;none;0;2019-11-04;2020-02-14;102.0;Czech Republic;Brno-Kralove Pole;0.0;3750.0
39;253;P1;10;B1;P1_10_B1;750;5.0;none;0;2019-11-04;2020-01-22;79.0;Czech Republic;Brno-Kralove Pole;0.0;3750.0
40;122;P1;40;B2;P1_40_B2;750;4.0;none;0;2019-11-04;2020-05-05;183.0;Germany;Freiburg;0.0;3000.0
41;11;P1;00;B0;P1_00_B0;750;10.0;M3;100000;2019-11-05;2020-07-10;248.0;USA;St. Louis;0.0;107500.0
42;203;P1;10;B4;P1_10_B4;850;8.0;none;0;2019-11-06;2020-02-06;92.0;Sweden;Uppsala;0.0;6800.0
43;302;P1;30;B0;P1_30_B0;750;2.0;none;0;2019-11-13;2020-01-22;70.0;Germany;Planegg;0.0;1500.0
44;302;P1;30;B2;P1_30_B2;750;2.0;none;0;2019-11-13;2020-01-22;70.0;Germany;Planegg;0.0;1500.0
45;302;P1;30;B2;P1_30_B2;750;4.0;none;0;2019-11-13;2020-02-18;97.0;Germany;Planegg;0.0;3000.0
46;302;P1;30;B2;P1_30_B2;750;4.0;none;0;2019-11-13;2020-03-20;128.0;Germany;Planegg;0.0;3000.0
47;161;P1;20;B3;P1_20_B3;750;3.0;none;0;2019-11-14;2020-02-07;85.0;USA;Boulder;0.0;2250.0
48;1;P1;20;B1;P1_20_B1;750;2.0;none;0;2019-11-14;2020-01-07;54.0;Singapur;Singapore;0.0;1500.0
49;232;P1;20;B0;P1_20_B0;750;4.0;none;0;2019-11-14;2020-03-04;111.0;Canada;Toronto;0.0;3000.0
50;16;P1;20;B0;P1_20_B0;750;3.0;none;0;2019-11-14;2020-02-12;90.0;Canada;Toronto;0.0;2250.0
51;300;P1;40;B2;P1_40_B2;750;1.0;none;0;2019-11-14;2020-02-06;84.0;USA;San Francisco;0.0;750.0
52;300;P1;20;B1;P1_20_B1;750;2.0;none;0;2019-11-14;2020-02-06;84.0;USA;San Francisco;0.0;1500.0
53;234;P1;20;B2;P1_20_B2;750;4.0;none;0;2019-11-14;2020-02-14;92.0;USA;Northvale;0.0;3000.0
54;120;P1;50;B1;P1_50_B1;750;1.0;none;0;2019-11-15;2020-01-15;61.0;Belgium;Leuven;0.0;750.0
55;120;P1;50;B2;P1_50_B2;750;1.0;none;0;2019-11-15;2020-01-15;61.0;Belgium;Leuven;0.0;750.0
56;120;P1;50;B3;P1_50_B3;750;1.0;none;0;2019-11-15;2020-01-15;61.0;Belgium;Leuven;0.0;750.0
57;120;P1;50;B4;P1_50_B4;800;1.0;none;0;2019-11-15;2020-08-05;264.0;Belgium;Leuven;0.0;800.0
58;303;P1;40;B2;P1_40_B2;750;4.0;none;0;2019-11-18;2020-02-24;98.0;Spain;Granada;0.0;3000.0
59;233;P1;20;B2;P1_20_B2;750;5.0;none;0;2019-11-19;2020-12-17;394.0;USA;Northvale;0.0;3750.0
60;140;P1;30;B1;P1_30_B1;750;2.0;none;0;2019-11-20;2020-02-14;86.0;USA;San Francisco;0.0;1500.0
61;315;P2;C2;B0;P2_C2_B0;700;1.0;none;0;2019-11-26;2020-01-16;51.0;USA;Emeryville;0.0;700.0
62;62;P2;C2;B0;P2_C2_B0;700;4.0;M7;55000;2019-11-26;2020-01-09;44.0;Germany;Berlin;0.0;57800.0
63;123;P1;00;B0;P1_00_B0;750;1.0;none;0;2019-11-28;2020-02-12;76.0;Portugal;Braga;0.0;750.0
64;37;P1;20;B2;P1_20_B2;750;2.0;none;0;2019-11-29;2020-01-24;56.0;France;Marnes-La-Coquette;0.0;1500.0
65;131;P1;00;B4;P1_00_B4;1000;2.0;none;0;2019-11-29;2020-02-21;84.0;USA;Sunnyvale;0.0;2000.0
66;220;P1;30;B0;P1_30_B0;750;24.0;none;0;2019-11-29;2020-02-19;82.0;Ireland;Dungloe;0.0;18000.0
67;134;P1;20;B4;P1_20_B4;800;4.0;none;0;2019-12-03;2020-01-13;41.0;UK;Dingwall;0.0;3200.0
68;70;P1;20;B1;P1_20_B1;750;4.0;none;0;2019-12-03;2020-01-30;58.0;Denmark;Lyngby;0.0;3000.0
69;153;P1;10;B0;P1_10_B0;750;2.0;none;0;2019-12-04;2020-02-14;72.0;France;La Tronche;0.0;1500.0
70;317;P1;40;B0;P1_40_B0;750;4.0;none;0;2019-12-04;2020-02-04;62.0;Spain;San Sebastian;0.0;3000.0
71;201;P1;20;B0;P1_20_B0;750;4.0;none;0;2019-12-04;2020-02-06;64.0;Netherlands;Hertogenbosch;0.0;3000.0
72;136;P2;C3;B0;P2_C3_B0;700;2.0;none;0;2019-12-05;2020-01-24;50.0;France;Paris;0.0;1400.0
73;136;P2;C1;B0;P2_C1_B0;700;2.0;none;0;2019-12-05;2020-01-24;50.0;France;Paris;0.0;1400.0
74;87;P2;C2;B0;P2_C2_B0;700;5.0;none;0;2019-12-09;2020-01-29;51.0;Netherlands;Rotterdam;0.0;3500.0
75;12;P1;50;B3;P1_50_B3;750;4.0;none;0;2019-12-09;2020-01-28;50.0;USA;San Diego;0.0;3000.0
76;207;P1;00;B4;P1_00_B4;1000;6.0;none;0;2019-12-12;2020-01-30;49.0;USA;Plymouth;0.0;6000.0
77;207;P1;00;B4;P1_00_B4;1000;4.0;none;0;2019-12-12;2020-06-17;188.0;USA;Plymouth;0.0;4000.0
78;103;P1;00;B0;P1_00_B0;750;1.0;none;0;2019-12-12;2020-02-12;62.0;USA;Sunnyvale;0.0;750.0
79;105;P1;20;B1;P1_20_B1;750;2.0;none;0;2019-12-13;2020-01-22;40.0;Spain;Madrid;0.0;1500.0
80;17;P1;40;B3;P1_40_B3;750;8.0;none;0;2019-12-16;2020-01-28;43.0;USA;Fountain Valley;0.0;6000.0
81;224;P1;30;B0;P1_30_B0;750;2.0;none;0;2019-12-16;2020-02-07;53.0;USA;Houston;0.0;1500.0
82;224;P1;20;B3;P1_20_B3;750;2.0;none;0;2019-12-16;2020-02-07;53.0;USA;Houston;0.0;1500.0
83;100;P1;30;B2;P1_30_B2;750;2.0;M2;35000;2019-12-17;2020-01-24;38.0;USA;Carlsbad;0.0;36500.0
84;100;P1;30;B2;P1_30_B2;750;2.0;M2;35000;2019-12-17;2020-03-10;84.0;USA;Carlsbad;0.0;36500.0
85;100;P1;30;B0;P1_30_B0;750;2.0;M2;35000;2019-12-17;2020-01-24;38.0;USA;Carlsbad;0.0;36500.0
86;100;P1;30;B0;P1_30_B0;750;3.0;M2;35000;2019-12-17;2020-03-10;84.0;USA;Carlsbad;0.0;37250.0
87;180;P1;30;B3;P1_30_B3;750;1.0;none;0;2019-12-17;2020-01-21;35.0;Australia;Scoresby;1.0;750.0
88;161;P1;20;B3;P1_20_B3;750;4.0;none;0;2019-12-18;2020-02-12;56.0;USA;Boulder;0.0;3000.0
89;2;P1;30;B2;P1_30_B2;750;20.0;none;0;2019-12-01;2020-01-21;51.0;Ireland;Donegal;0.0;15000.0
90;2;P1;30;B2;P1_30_B2;750;60.0;none;0;2019-12-01;2020-06-30;212.0;UK;Witney;0.0;45000.0
91;158;P1;30;B1;P1_30_B1;750;8.0;none;0;2019-12-19;2020-05-13;146.0;USA;Northbrook;0.0;6000.0
92;280;P1;30;B2;P1_30_B2;750;6.0;none;0;2019-12-20;2020-01-30;41.0;Belgium;Ougree;0.0;4500.0
93;280;P1;30;B2;P1_30_B2;750;9.0;none;0;2019-12-20;2020-06-18;181.0;Belgium;Ougree;0.0;6750.0
94;280;P1;30;B3;P1_30_B3;750;5.0;none;0;2019-12-20;2020-01-30;41.0;Belgium;Ougree;0.0;3750.0
95;257;P2;C2;B0;P2_C2_B0;700;2.0;M3;100000;2019-12-23;2020-01-15;23.0;USA;Berkeley;0.0;101400.0
96;257;P2;C3;B0;P2_C3_B0;700;1.0;M3;100000;2019-12-23;2020-01-15;23.0;USA;Berkeley;0.0;100700.0
97;257;P1;30;B2;P1_30_B2;750;1.0;M3;100000;2019-12-23;2020-01-15;23.0;USA;Berkeley;0.0;100750.0
98;257;P1;30;B3;P1_30_B3;750;1.0;M3;100000;2019-12-23;2020-01-15;23.0;USA;Berkeley;0.0;100750.0
99;257;P1;30;B4;P1_30_B4;800;1.0;M3;100000;2019-12-23;2020-01-15;23.0;USA;Berkeley;0.0;100800.0
100;2;P1;30;B2;P1_30_B2;750;8.0;none;0;2019-12-23;2020-03-06;74.0;USA;Alameda;0.0;6000.0
101;2;P1;30;B2;P1_30_B2;750;2.0;none;0;2019-12-23;2020-03-06;74.0;USA;Alameda;0.0;1500.0
102;182;P1;30;B4;P1_30_B4;800;8.0;none;0;2019-12-23;2020-01-24;32.0;Finnland;Espoo;0.0;6400.0
103;248;P2;C2;B0;P2_C2_B0;700;4.0;none;0;2019-12-23;2020-01-09;17.0;USA;Redwood City;0.0;2800.0
104;2;P1;30;B2;P1_30_B2;750;60.0;none;0;2020-01-01;2020-09-21;264.0;UK;Witney;0.0;45000.0
105;304;P2;C2;B0;P2_C2_B0;700;1.0;none;0;2020-01-02;2020-01-09;7.0;China;Shanghai;1.0;700.0
106;75;P1;20;B3;P1_20_B3;750;2.0;none;0;2020-01-03;2020-02-14;42.0;USA;Durham;0.0;1500.0
107;81;P2;C2;B0;P2_C2_B0;700;2.0;M7;55000;2020-01-03;2020-03-04;61.0;UK;Norwich;0.0;56400.0
108;29;P1;20;B4;P1_20_B4;800;3.0;none;0;2020-01-06;2020-01-13;7.0;Canada;Vancouver;0.0;2400.0
109;221;P1;10;B4;P1_10_B4;850;2.0;M1;40000;2020-01-07;2020-02-24;48.0;China;Guangzhou;0.0;41700.0
110;191;P1;20;B0;P1_20_B0;750;1.0;none;0;2020-01-07;2020-02-14;38.0;USA;Boston;0.0;750.0
111;191;P1;20;B2;P1_20_B2;750;1.0;none;0;2020-01-07;2020-01-09;2.0;USA;Boston;0.0;750.0
112;191;P2;C2;B0;P2_C2_B0;700;1.0;none;0;2020-01-07;2020-01-09;2.0;USA;Boston;0.0;700.0
113;191;P2;C2;B0;P2_C2_B0;700;2.0;none;0;2020-01-07;2020-02-14;38.0;USA;Boston;0.0;1400.0
114;221;P1;20;B4;P1_20_B4;800;1.0;none;0;2020-01-07;2020-02-17;41.0;China;Guangzhou;0.0;800.0
115;221;P1;00;B1;P1_00_B1;900;2.0;none;0;2020-01-07;2020-02-17;41.0;China;Guangzhou;0.0;1800.0
116;243;P1;30;B3;P1_30_B3;750;4.0;M4;1000000;2020-01-08;2020-09-09;245.0;Netherlands;Eindhoven;0.0;1003000.0
117;315;P2;C2;B0;P2_C2_B0;700;2.0;none;0;2020-01-08;2020-04-09;92.0;USA;Emeryville;0.0;1400.0
118;197;P1;X1;B0;P1_X1_B0;50;7.0;none;0;2020-01-08;2020-01-13;5.0;South Korea;Seoul;0.0;350.0
119;254;P2;C2;B0;P2_C2_B0;700;1.0;none;0;2020-01-03;2020-01-09;6.0;UK;London;1.0;700.0
120;254;P2;C3;B0;P2_C3_B0;700;1.0;none;0;2020-01-03;2020-01-09;6.0;UK;London;1.0;700.0
121;210;P2;C2;B0;P2_C2_B0;700;2.0;none;0;2019-12-05;2020-01-22;48.0;Japan;Tokyo;0.0;1400.0
122;165;P1;30;B0;P1_30_B0;750;4.0;M2;35000;2019-12-13;2020-06-19;189.0;Germany;Potsdam-Golm;0.0;38000.0
123;125;P1;00;B2;P1_00_B2;900;1.0;M2;35000;2020-01-14;2020-06-19;157.0;Poland;Warsaw;0.0;35900.0
124;125;P1;00;B3;P1_00_B3;850;1.0;M2;35000;2020-01-14;2020-06-19;157.0;Poland;Warsaw;0.0;35850.0
125;125;P1;20;B2;P1_20_B2;750;1.0;M2;35000;2020-03-19;2020-06-19;92.0;Poland;Warsaw;0.0;35750.0
126;125;P1;30;B3;P1_30_B3;750;1.0;M2;35000;2020-03-19;2020-06-19;92.0;Poland;Warsaw;0.0;35750.0
127;121;P2;C2;B0;P2_C2_B0;700;1.0;M7;55000;2020-01-14;2020-02-27;44.0;Austria;Vienna;0.0;55700.0
128;121;P1;40;B3;P1_40_B3;750;1.0;M7;55000;2020-01-14;2020-02-27;44.0;Austria;Vienna;0.0;55750.0
129;272;P1;30;B0;P1_30_B0;750;2.0;M1;40000;2020-01-14;2020-04-24;101.0;UK;Portsmouth;0.0;41500.0
130;12;P1;40;B3;P1_40_B3;750;1.0;none;0;2019-12-18;2020-01-28;41.0;USA;San Diego;0.0;750.0
131;16;P1;20;B0;P1_20_B0;750;3.0;none;0;2020-01-15;2020-03-04;49.0;Canada;Toronto;0.0;2250.0
132;103;P1;00;B0;P1_00_B0;750;1.0;none;0;2020-01-15;2020-03-18;63.0;USA;Sunnyvale;0.0;750.0
133;283;P1;10;B1;P1_10_B1;750;2.0;none;0;2020-01-15;2020-04-24;100.0;Germany;Jena;0.0;1500.0
134;12;P1;50;B3;P1_50_B3;750;2.0;none;0;2019-10-08;2020-07-02;268.0;USA;San Diego;0.0;1500.0
135;216;P1;30;B4;P1_30_B4;800;4.0;none;0;2020-01-16;2020-02-13;28.0;Germany;Darmstadt;0.0;3200.0
136;315;P2;C2;B0;P2_C2_B0;700;1.0;none;0;2020-01-05;2020-01-17;12.0;USA;Emeryville;0.0;700.0
137;123;P1;00;B0;P1_00_B0;750;1.0;none;0;2020-01-17;2020-03-10;53.0;Portugal;Braga;0.0;750.0
138;22;P1;10;B2;P1_10_B2;750;1.0;none;0;2020-01-17;2020-04-17;91.0;France;Grenoble;0.0;750.0
139;158;P1;30;B1;P1_30_B1;750;5.0;none;0;2020-01-20;2020-01-22;2.0;USA;Northbrook;0.0;3750.0
140;129;P1;20;B2;P1_20_B2;750;1.0;none;0;2020-01-20;2020-01-21;1.0;UK;London;0.0;750.0
141;210;P2;C2;B0;P2_C2_B0;700;3.0;M7;55000;2020-01-21;2020-03-06;45.0;Japan;Tokyo;0.0;57100.0
142;2;P1;30;B2;P1_30_B2;750;2.0;none;0;2020-01-03;2020-01-21;18.0;Ireland;Donegal;0.0;1500.0
143;142;P2;C2;B0;P2_C2_B0;700;1.0;M7;55000;2020-02-20;2020-02-27;7.0;Belgium;Beerse;0.0;55700.0
144;142;P1;40;B3;P1_40_B3;750;1.0;M7;55000;2020-02-20;2020-02-27;7.0;Belgium;Beerse;0.0;55750.0
145;17;P1;40;B3;P1_40_B3;750;10.0;none;0;2020-01-23;2020-03-31;68.0;USA;Fountain Valley;0.0;7500.0
146;303;P1;40;B1;P1_40_B1;750;1.0;none;0;2020-01-27;2020-03-10;43.0;Spain;Granada;0.0;750.0
147;303;P1;40;B2;P1_40_B2;750;6.0;none;0;2020-01-27;2020-04-01;65.0;Spain;Granada;0.0;4500.0
148;303;P1;40;B3;P1_40_B3;750;1.0;none;0;2020-01-27;2020-03-10;43.0;Spain;Granada;0.0;750.0
149;171;P1;20;B1;P1_20_B1;750;2.0;none;0;2020-01-27;2020-01-29;2.0;Canada;Montreal;0.0;1500.0
150;181;P1;30;B0;P1_30_B0;750;3.0;M1;40000;2020-01-27;2020-02-24;28.0;UK;Sittingbourne;0.0;42250.0
151;105;P1;20;B1;P1_20_B1;750;2.0;none;0;2020-01-27;2020-02-21;25.0;Spain;Madrid;0.0;1500.0
152;17;P1;40;B3;P1_40_B3;750;2.0;none;0;2020-01-28;2020-12-16;323.0;USA;Fountain Valley;1.0;1500.0
153;277;P1;20;B3;P1_20_B3;750;1.0;none;0;2020-01-28;2020-02-20;23.0;Netherlands;Wageningen;0.0;750.0
154;40;P1;20;B0;P1_20_B0;750;6.0;none;0;2020-01-28;2020-03-18;50.0;Germany;Hannover;0.0;4500.0
155;99;P1;30;B3;P1_30_B3;750;2.0;none;0;2020-01-28;2020-03-10;42.0;Germany;Straussberg;0.0;1500.0
156;317;P1;40;B0;P1_40_B0;750;4.0;none;0;2020-01-28;2020-03-13;45.0;Spain;San Sebastian;0.0;3000.0
157;197;P1;X1;B0;P1_X1_B0;50;7.0;none;0;2020-01-28;2020-03-17;49.0;South Korea;Seoul;0.0;350.0
158;269;P1;40;B0;P1_40_B0;750;1.0;none;0;2020-01-28;2020-03-13;45.0;USA;Houston;0.0;750.0
159;163;P1;10;B4;P1_10_B4;850;2.0;none;0;2020-01-29;2020-03-30;61.0;USA;Cambridge;0.0;1700.0
160;163;P1;10;B3;P1_10_B3;750;1.0;none;0;2020-01-29;2020-03-30;61.0;USA;Cambridge;0.0;750.0
161;166;P1;20;B1;P1_20_B1;750;1.0;none;0;2020-01-30;2020-06-09;131.0;USA;New York;0.0;750.0
162;110;P2;C2;B0;P2_C2_B0;700;1.0;M7;55000;2020-01-30;2020-02-04;5.0;South Korea;Seoul;0.0;55700.0
163;110;P2;C1;B0;P2_C1_B0;700;1.0;M7;55000;2020-01-30;2020-02-04;5.0;South Korea;Seoul;0.0;55700.0
164;69;P1;20;B1;P1_20_B1;750;1.0;none;0;2020-01-30;2020-03-10;40.0;UK;London;0.0;750.0
165;69;P1;20;B4;P1_20_B4;800;1.0;none;0;2020-01-30;2020-03-10;40.0;UK;London;0.0;800.0
166;68;P2;C2;B0;P2_C2_B0;700;1.0;none;0;2020-01-31;2020-03-09;38.0;Germany;Heidelberg;0.0;700.0
167;68;P2;C1;B0;P2_C1_B0;700;1.0;none;0;2020-01-31;2020-03-09;38.0;Germany;Heidelberg;0.0;700.0
168;194;P1;40;B1;P1_40_B1;750;1.0;none;0;2020-02-04;2020-02-07;3.0;South Korea;Seongnam-si (Gyeonggi-do);1.0;750.0
169;108;P1;00;B0;P1_00_B0;750;1.0;none;0;2020-02-04;2020-03-24;49.0;Austria;Rainbach;0.0;750.0
170;158;P1;30;B1;P1_30_B1;750;5.0;none;0;2020-02-01;2020-02-20;19.0;USA;Northbrook;0.0;3750.0
171;210;P2;C2;B0;P2_C2_B0;700;3.0;none;0;2020-02-05;2020-03-06;30.0;Japan;Tokyo;0.0;2100.0
172;2;P1;30;B2;P1_30_B2;750;40.0;none;0;2020-02-06;2020-02-20;14.0;Ireland;Donegal;0.0;30000.0
173;2;P1;30;B2;P1_30_B2;750;2.0;none;0;2020-02-05;2020-02-06;1.0;Ireland;Donegal;1.0;1500.0
174;203;P1;10;B4;P1_10_B4;850;2.0;none;0;2020-02-07;2020-04-30;83.0;Sweden;Uppsala;0.0;1700.0
175;115;P1;20;B3;P1_20_B3;750;1.0;M1;40000;2020-02-10;2020-05-25;105.0;Germany;Furtwangen;0.0;40750.0
176;201;P1;20;B0;P1_20_B0;750;6.0;none;0;2020-02-10;2020-03-18;37.0;Netherlands;Hertogenbosch;0.0;4500.0
177;68;P2;C2;B0;P2_C2_B0;700;3.0;none;0;2020-02-10;2020-06-23;134.0;Germany;Heidelberg;0.0;2100.0
178;68;P2;C1;B0;P2_C1_B0;700;3.0;none;0;2020-02-10;2020-06-23;134.0;Germany;Heidelberg;0.0;2100.0
179;253;P1;10;B0;P1_10_B0;750;5.0;none;0;2020-02-11;2020-05-15;94.0;Czech Republic;Brno-Kralove Pole;0.0;3750.0
180;253;P1;20;B0;P1_20_B0;750;5.0;none;0;2020-02-11;2020-05-15;94.0;Czech Republic;Brno-Kralove Pole;0.0;3750.0
181;253;P1;20;B2;P1_20_B2;750;3.0;none;0;2020-02-11;2020-05-15;94.0;Czech Republic;Brno-Kralove Pole;0.0;2250.0
182;37;P1;20;B2;P1_20_B2;750;1.0;none;0;2020-02-11;2020-02-12;1.0;France;Marnes-La-Coquette;1.0;750.0
183;156;P1;30;B0;P1_30_B0;750;1.0;none;0;2020-02-14;2020-03-20;35.0;Italy;Guidonia (RM);0.0;750.0
184;132;P1;30;B3;P1_30_B3;750;1.0;none;0;2020-02-13;2020-02-14;1.0;France;Lyon;0.0;750.0
185;68;P2;C1;B0;P2_C1_B0;700;2.0;none;0;2020-02-14;2020-02-18;4.0;Germany;Heidelberg;1.0;1400.0
186;196;P1;40;B0;P1_40_B0;750;1.0;none;0;2020-02-17;2020-02-18;1.0;UK;Oxfordshire;0.0;750.0
187;254;P2;C3;B0;P2_C3_B0;700;2.0;none;0;2020-02-18;2020-03-26;37.0;UK;London;0.0;1400.0
188;75;P1;20;B3;P1_20_B3;750;2.0;none;0;2020-02-18;2020-05-05;77.0;USA;Durham;0.0;1500.0
189;232;P1;40;B2;P1_40_B2;750;3.0;none;0;2020-02-18;2020-04-01;43.0;Canada;Toronto;0.0;2250.0
190;90;P1;20;B3;P1_20_B3;750;1.0;none;0;2020-02-19;2020-05-04;75.0;Germany;Aachen;0.0;750.0
191;90;P1;20;B4;P1_20_B4;800;1.0;none;0;2020-02-19;2020-05-04;75.0;Germany;Aachen;0.0;800.0
192;88;P1;20;B1;P1_20_B1;750;3.0;none;0;2020-02-19;2020-04-23;64.0;Germany;Luebeck;0.0;2250.0
193;101;P1;20;B0;P1_20_B0;750;1.0;none;0;2020-02-19;2020-03-19;29.0;USA;San Diego;0.0;750.0
194;25;P1;20;B3;P1_20_B3;750;1.0;none;0;2020-02-19;2020-04-22;63.0;UK;Exeter;0.0;750.0
195;312;P1;30;B3;P1_30_B3;750;2.0;none;0;2020-02-19;2020-03-20;30.0;USA;Saint Paul;0.0;1500.0
196;312;P1;30;B2;P1_30_B2;750;1.0;none;0;2020-02-19;2020-03-20;30.0;USA;Saint Paul;0.0;750.0
197;312;P1;40;B4;P1_40_B4;800;1.0;none;0;2020-02-19;2020-03-20;30.0;USA;Saint Paul;0.0;800.0
198;86;P1;20;B2;P1_20_B2;750;2.0;M1;40000;2020-02-20;2020-04-03;43.0;Netherlands;Nijmegen;0.0;41500.0
199;270;P1;20;B2;P1_20_B2;750;1.0;none;0;2020-02-25;2020-02-25;0.0;UK;Nottingham;0.0;750.0
200;87;P1;40;B2;P1_40_B2;750;1.0;none;0;2020-02-24;2020-05-05;71.0;Netherlands;Rotterdam;0.0;750.0
201;134;P1;20;B4;P1_20_B4;800;4.0;none;0;2020-02-24;2020-04-08;44.0;UK;Dingwall;0.0;3200.0
202;210;P2;C2;B0;P2_C2_B0;700;1.0;none;0;2020-02-24;2020-03-26;31.0;Japan;Tokyo;0.0;700.0
203;248;P2;C2;B0;P2_C2_B0;700;3.0;none;0;2020-02-25;2020-05-20;85.0;USA;Redwood City;0.0;2100.0
204;166;P1;20;B1;P1_20_B1;750;2.0;none;0;2020-02-25;2020-06-09;105.0;USA;New York;0.0;1500.0
